school_year,antigen,age,public_health_unit,coverage,year_of_birth
2018-2019,Hib,7,"Kingston, Frontenac and Lennox & Addington Public Health",92.7,2011
2018-2019,Hib,7,Lakelands Public Health,86.6,2011
2018-2019,Hib,7,Lambton Public Health,87.0,2011
2018-2019,Hib,7,"Leeds, Grenville & Lanark District Health Unit",89.5,2011
2018-2019,Hib,7,Middlesex-London Health Unit,80.7,2011
2018-2019,Hib,7,Niagara Region Public Health,85.9,2011
2018-2019,Hib,7,North Bay Parry Sound District Health Unit,93.1,2011
2018-2019,Hib,7,Northeastern Public Health,89.6,2011
2018-2019,Hib,7,Northwestern Health Unit,82.2,2011
2018-2019,Hib,7,Ontario,82.9,2011
2018-2019,Hib,7,Ottawa Public Health,86.3,2011
2018-2019,Hib,7,Peel Public Health,81.2,2011
2018-2019,Hib,7,Peterborough Public Health,89.2,2011
2018-2019,Hib,7,Porcupine Health Unit,87.3,2011
2018-2019,Hib,7,Public Health Sudbury & Districts,84.9,2011
2018-2019,Hib,7,Region of Waterloo Public Health and Emergency Services,85.7,2011
2018-2019,Hib,7,Region of Waterloo Public Health and Paramedic Services,85.7,2011
2018-2019,Hib,7,Renfrew County and District Health Unit,93.2,2011
2018-2019,Hib,7,Simcoe Muskoka District Health Unit,85.3,2011
2018-2019,Hib,7,Southeast Public Health,90.8,2011
2018-2019,Hib,7,Southwestern Public Health,85.9,2011
2018-2019,Hib,7,Thunder Bay District Health Unit,86.7,2011
2018-2019,Hib,7,Timiskaming Health Unit,95.2,2011
2018-2019,Hib,7,Toronto Public Health,77.6,2011
2018-2019,Hib,7,Wellington-Dufferin-Guelph Public Health,87.0,2011
2018-2019,Hib,7,Windsor-Essex County Health Unit,80.0,2011
2018-2019,Hib,7,York Region Public Health,78.2,2011
2018-2019,MCC,7,Algoma Public Health,97.1,2011
2018-2019,MCC,7,Brant County Health Unit,96.9,2011
2018-2019,MCC,7,Chatham-Kent Public Health,96.6,2011
2018-2019,MCC,7,City of Hamilton Public Health Services,95.1,2011
2018-2019,MCC,7,Durham Region Health Department,97.0,2011
2018-2019,MCC,7,Eastern Ontario Health Unit,96.2,2011
2018-2019,MCC,7,Grand Erie Public Health,94.8,2011
2018-2019,MCC,7,Grey Bruce Health Unit,94.8,2011
2018-2019,MCC,7,Grey Bruce Public Health,94.8,2011
2018-2019,MCC,7,Haldimand-Norfolk Health Unit,91.9,2011
2018-2019,MCC,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",96.7,2011
2018-2019,MCC,7,Halton Region Public Health,86.1,2011
2018-2019,MCC,7,Hastings Prince Edward Public Health,97.5,2011
2018-2019,MCC,7,Huron Perth Public Health,93.8,2011
2018-2019,MCC,7,"Kingston, Frontenac and Lennox & Addington Public Health",98.5,2011
2018-2019,MCC,7,Lakelands Public Health,96.6,2011
2018-2019,MCC,7,Lambton Public Health,96.3,2011
2018-2019,MCC,7,"Leeds, Grenville & Lanark District Health Unit",96.8,2011
2018-2019,MCC,7,Middlesex-London Health Unit,92.6,2011
2018-2019,MCC,7,Niagara Region Public Health,95.8,2011
2018-2019,MCC,7,North Bay Parry Sound District Health Unit,97.6,2011
2018-2019,MCC,7,Northeastern Public Health,97.0,2011
2018-2019,MCC,7,Northwestern Health Unit,93.4,2011
2018-2019,MCC,7,Ontario,94.5,2011
2018-2019,MCC,7,Ottawa Public Health,97.5,2011
2018-2019,MCC,7,Peel Public Health,97.5,2011
2018-2019,MCC,7,Peterborough Public Health,96.4,2011
2018-2019,MCC,7,Porcupine Health Unit,96.9,2011
2018-2019,MCC,7,Public Health Sudbury & Districts,98.0,2011
2018-2019,MCC,7,Region of Waterloo Public Health and Emergency Services,96.5,2011
2018-2019,MCC,7,Region of Waterloo Public Health and Paramedic Services,96.5,2011
2018-2019,MCC,7,Renfrew County and District Health Unit,98.0,2011
2018-2019,MCC,7,Simcoe Muskoka District Health Unit,95.3,2011
2018-2019,MCC,7,Southeast Public Health,97.6,2011
2018-2019,MCC,7,Southwestern Public Health,91.5,2011
2018-2019,MCC,7,Thunder Bay District Health Unit,96.7,2011
2018-2019,MCC,7,Timiskaming Health Unit,97.3,2011
2018-2019,MCC,7,Toronto Public Health,92.1,2011
2018-2019,MCC,7,Wellington-Dufferin-Guelph Public Health,96.5,2011
2018-2019,MCC,7,Windsor-Essex County Health Unit,94.7,2011
2018-2019,MCC,7,York Region Public Health,90.7,2011
2018-2019,MCV4,12,Algoma Public Health,81.1,2006
2018-2019,MCV4,17,Algoma Public Health,97.4,2001
2018-2019,MCV4,12,Brant County Health Unit,81.6,2006
2018-2019,MCV4,17,Brant County Health Unit,95.3,2001
2018-2019,MCV4,12,Chatham-Kent Public Health,81.9,2006
2018-2019,MCV4,17,Chatham-Kent Public Health,95.5,2001
2018-2019,MCV4,12,City of Hamilton Public Health Services,86.5,2006
2018-2019,MCV4,17,City of Hamilton Public Health Services,88.6,2001
2018-2019,MCV4,12,Durham Region Health Department,91.6,2006
2018-2019,MCV4,17,Durham Region Health Department,96.6,2001
2018-2019,MCV4,12,Eastern Ontario Health Unit,83.2,2006
2018-2019,MCV4,17,Eastern Ontario Health Unit,94.9,2001
2018-2019,MCV4,12,Grand Erie Public Health,79.0,2006
2018-2019,MCV4,17,Grand Erie Public Health,93.2,2001
2018-2019,MCV4,12,Grey Bruce Health Unit,92.0,2006
2018-2019,MCV4,17,Grey Bruce Health Unit,91.7,2001
2018-2019,MCV4,12,Grey Bruce Public Health,92.0,2006
2018-2019,MCV4,17,Grey Bruce Public Health,91.7,2001
2018-2019,MCV4,12,Haldimand-Norfolk Health Unit,75.2,2006
2018-2019,MCV4,17,Haldimand-Norfolk Health Unit,90.5,2001
2018-2019,MCV4,12,"Haliburton, Kawartha, Pine Ridge District Health Unit",81.7,2006
2018-2019,MCV4,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",95.2,2001
2018-2019,MCV4,12,Halton Region Public Health,77.9,2006
2018-2019,MCV4,17,Halton Region Public Health,93.4,2001
2018-2019,MCV4,12,Hastings Prince Edward Public Health,92.4,2006
2018-2019,MCV4,17,Hastings Prince Edward Public Health,97.1,2001
2018-2019,MCV4,12,Huron Perth Public Health,85.4,2006
2018-2019,MCV4,17,Huron Perth Public Health,89.7,2001
2018-2019,MCV4,12,"Kingston, Frontenac and Lennox & Addington Public Health",93.4,2006
2018-2019,MCV4,17,"Kingston, Frontenac and Lennox & Addington Public Health",97.7,2001
2018-2019,MCV4,12,Lakelands Public Health,83.9,2006
2018-2019,MCV4,17,Lakelands Public Health,95.3,2001
2018-2019,MCV4,12,Lambton Public Health,72.4,2006
2018-2019,MCV4,17,Lambton Public Health,96.7,2001
2018-2019,MCV4,12,"Leeds, Grenville & Lanark District Health Unit",78.0,2006
2018-2019,MCV4,17,"Leeds, Grenville & Lanark District Health Unit",88.3,2001
2018-2019,MCV4,12,Middlesex-London Health Unit,83.0,2006
2018-2019,MCV4,17,Middlesex-London Health Unit,93.4,2001
2018-2019,MCV4,12,Niagara Region Public Health,85.8,2006
2018-2019,MCV4,17,Niagara Region Public Health,95.9,2001
2018-2019,MCV4,12,North Bay Parry Sound District Health Unit,83.0,2006
2018-2019,MCV4,17,North Bay Parry Sound District Health Unit,96.3,2001
2018-2019,MCV4,12,Northeastern Public Health,88.4,2006
2018-2019,MCV4,17,Northeastern Public Health,97.3,2001
2018-2019,MCV4,12,Northwestern Health Unit,71.9,2006
2018-2019,MCV4,17,Northwestern Health Unit,80.4,2001
2018-2019,MCV4,12,Ontario,80.1,2006
2018-2019,MCV4,17,Ontario,93.9,2001
2018-2019,MCV4,12,Ottawa Public Health,88.0,2006
2018-2019,MCV4,17,Ottawa Public Health,96.2,2001
2018-2019,MCV4,12,Peel Public Health,81.2,2006
2018-2019,MCV4,17,Peel Public Health,95.1,2001
2018-2019,MCV4,12,Peterborough Public Health,86.3,2006
2018-2019,MCV4,17,Peterborough Public Health,95.5,2001
2018-2019,MCV4,12,Porcupine Health Unit,88.2,2006
2018-2019,MCV4,17,Porcupine Health Unit,97.5,2001
2018-2019,MCV4,12,Public Health Sudbury & Districts,84.3,2006
2018-2019,MCV4,17,Public Health Sudbury & Districts,96.7,2001
2018-2019,MCV4,12,Region of Waterloo Public Health and Emergency Services,82.0,2006
2018-2019,MCV4,17,Region of Waterloo Public Health and Emergency Services,95.6,2001
2018-2019,MCV4,12,Region of Waterloo Public Health and Paramedic Services,82.0,2006
2018-2019,MCV4,17,Region of Waterloo Public Health and Paramedic Services,95.6,2001
2018-2019,MCV4,12,Renfrew County and District Health Unit,85.4,2006
2018-2019,MCV4,17,Renfrew County and District Health Unit,98.3,2001
2018-2019,MCV4,12,Simcoe Muskoka District Health Unit,90.4,2006
2018-2019,MCV4,17,Simcoe Muskoka District Health Unit,94.2,2001
2018-2019,MCV4,12,Southeast Public Health,88.1,2006
2018-2019,MCV4,17,Southeast Public Health,94.4,2001
2018-2019,MCV4,12,Southwestern Public Health,81.4,2006
2018-2019,MCV4,17,Southwestern Public Health,91.2,2001
2018-2019,MCV4,12,Thunder Bay District Health Unit,78.7,2006
2018-2019,MCV4,17,Thunder Bay District Health Unit,95.7,2001
2018-2019,MCV4,12,Timiskaming Health Unit,89.1,2006
2018-2019,MCV4,17,Timiskaming Health Unit,97.0,2001
2018-2019,MCV4,12,Toronto Public Health,79.9,2006
2018-2019,MCV4,17,Toronto Public Health,93.6,2001
2018-2019,MCV4,12,Wellington-Dufferin-Guelph Public Health,81.6,2006
2018-2019,MCV4,17,Wellington-Dufferin-Guelph Public Health,95.2,2001
2018-2019,MCV4,12,Windsor-Essex County Health Unit,6.6,2006
2018-2019,MCV4,17,Windsor-Essex County Health Unit,95.4,2001
2018-2019,MCV4,12,York Region Public Health,74.8,2006
2018-2019,MCV4,17,York Region Public Health,90.6,2001
2018-2019,Measles,7,Algoma Public Health,75.9,2011
2018-2019,Measles,17,Algoma Public Health,98.3,2001
2018-2019,Measles,7,Brant County Health Unit,95.1,2011
2018-2019,Measles,17,Brant County Health Unit,96.0,2001
2018-2019,Measles,7,Chatham-Kent Public Health,94.0,2011
2018-2019,Measles,17,Chatham-Kent Public Health,96.7,2001
2018-2019,Measles,7,City of Hamilton Public Health Services,91.1,2011
2018-2019,Measles,17,City of Hamilton Public Health Services,88.1,2001
2018-2019,Measles,7,Durham Region Health Department,95.1,2011
2018-2019,Measles,17,Durham Region Health Department,98.0,2001
2018-2019,Measles,7,Eastern Ontario Health Unit,94.8,2011
2018-2019,Measles,17,Eastern Ontario Health Unit,96.1,2001
2018-2019,Measles,7,Grand Erie Public Health,92.8,2011
2018-2019,Measles,17,Grand Erie Public Health,92.6,2001
2018-2019,Measles,7,Grey Bruce Health Unit,94.2,2011
2018-2019,Measles,17,Grey Bruce Health Unit,92.8,2001
2018-2019,Measles,7,Grey Bruce Public Health,94.2,2011
2018-2019,Measles,17,Grey Bruce Public Health,92.8,2001
2018-2019,Measles,7,Haldimand-Norfolk Health Unit,89.8,2011
2018-2019,Measles,17,Haldimand-Norfolk Health Unit,88.4,2001
2018-2019,Measles,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",93.9,2011
2018-2019,Measles,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",97.3,2001
2018-2019,Measles,7,Halton Region Public Health,50.1,2011
2018-2019,Measles,17,Halton Region Public Health,96.3,2001
2018-2019,Measles,7,Hastings Prince Edward Public Health,95.4,2011
2018-2019,Measles,17,Hastings Prince Edward Public Health,98.3,2001
2018-2019,Measles,7,Huron Perth Public Health,92.5,2011
2018-2019,Measles,17,Huron Perth Public Health,91.6,2001
2018-2019,Measles,7,"Kingston, Frontenac and Lennox & Addington Public Health",97.9,2011
2018-2019,Measles,17,"Kingston, Frontenac and Lennox & Addington Public Health",97.4,2001
2018-2019,Measles,7,Lakelands Public Health,93.7,2011
2018-2019,Measles,17,Lakelands Public Health,97.1,2001
2018-2019,Measles,7,Lambton Public Health,94.6,2011
2018-2019,Measles,17,Lambton Public Health,98.3,2001
2018-2019,Measles,7,"Leeds, Grenville & Lanark District Health Unit",94.4,2011
2018-2019,Measles,17,"Leeds, Grenville & Lanark District Health Unit",88.2,2001
2018-2019,Measles,7,Middlesex-London Health Unit,89.2,2011
2018-2019,Measles,17,Middlesex-London Health Unit,94.5,2001
2018-2019,Measles,7,Niagara Region Public Health,88.8,2011
2018-2019,Measles,17,Niagara Region Public Health,96.6,2001
2018-2019,Measles,7,North Bay Parry Sound District Health Unit,95.5,2011
2018-2019,Measles,17,North Bay Parry Sound District Health Unit,97.7,2001
2018-2019,Measles,7,Northeastern Public Health,93.8,2011
2018-2019,Measles,17,Northeastern Public Health,98.7,2001
2018-2019,Measles,7,Northwestern Health Unit,86.8,2011
2018-2019,Measles,17,Northwestern Health Unit,90.2,2001
2018-2019,Measles,7,Ontario,86.6,2011
2018-2019,Measles,17,Ontario,95.5,2001
2018-2019,Measles,7,Ottawa Public Health,86.7,2011
2018-2019,Measles,17,Ottawa Public Health,97.3,2001
2018-2019,Measles,7,Peel Public Health,87.7,2011
2018-2019,Measles,17,Peel Public Health,97.3,2001
2018-2019,Measles,7,Peterborough Public Health,93.4,2011
2018-2019,Measles,17,Peterborough Public Health,96.8,2001
2018-2019,Measles,7,Porcupine Health Unit,95.8,2011
2018-2019,Measles,17,Porcupine Health Unit,98.6,2001
2018-2019,Measles,7,Public Health Sudbury & Districts,94.7,2011
2018-2019,Measles,17,Public Health Sudbury & Districts,98.1,2001
2018-2019,Measles,7,Region of Waterloo Public Health and Emergency Services,93.7,2011
2018-2019,Measles,17,Region of Waterloo Public Health and Emergency Services,96.0,2001
2018-2019,Measles,7,Region of Waterloo Public Health and Paramedic Services,93.7,2011
2018-2019,Measles,17,Region of Waterloo Public Health and Paramedic Services,96.0,2001
2018-2019,Measles,7,Renfrew County and District Health Unit,97.2,2011
2018-2019,Measles,17,Renfrew County and District Health Unit,98.4,2001
2018-2019,Measles,7,Simcoe Muskoka District Health Unit,93.1,2011
2018-2019,Measles,17,Simcoe Muskoka District Health Unit,95.0,2001
2018-2019,Measles,7,Southeast Public Health,96.0,2011
2018-2019,Measles,17,Southeast Public Health,94.7,2001
2018-2019,Measles,7,Southwestern Public Health,89.9,2011
2018-2019,Measles,17,Southwestern Public Health,94.5,2001
2018-2019,Measles,7,Thunder Bay District Health Unit,86.2,2011
2018-2019,Measles,17,Thunder Bay District Health Unit,97.7,2001
2018-2019,Measles,7,Timiskaming Health Unit,88.6,2011
2018-2019,Measles,17,Timiskaming Health Unit,99.1,2001
2018-2019,Measles,7,Toronto Public Health,84.2,2011
2018-2019,Measles,17,Toronto Public Health,95.1,2001
2018-2019,Measles,7,Wellington-Dufferin-Guelph Public Health,95.2,2011
2018-2019,Measles,17,Wellington-Dufferin-Guelph Public Health,96.8,2001
2018-2019,Measles,7,Windsor-Essex County Health Unit,69.2,2011
2018-2019,Measles,17,Windsor-Essex County Health Unit,96.6,2001
2018-2019,Measles,7,York Region Public Health,85.5,2011
2018-2019,Measles,17,York Region Public Health,93.1,2001
2018-2019,Mumps,7,Algoma Public Health,75.9,2011
2018-2019,Mumps,17,Algoma Public Health,98.3,2001
2018-2019,Mumps,7,Brant County Health Unit,95.1,2011
2018-2019,Mumps,17,Brant County Health Unit,96.0,2001
2018-2019,Mumps,7,Chatham-Kent Public Health,94.0,2011
2018-2019,Mumps,17,Chatham-Kent Public Health,96.8,2001
2018-2019,Mumps,7,City of Hamilton Public Health Services,91.1,2011
2018-2019,Mumps,17,City of Hamilton Public Health Services,87.9,2001
2018-2019,Mumps,7,Durham Region Health Department,95.0,2011
2018-2019,Mumps,17,Durham Region Health Department,97.9,2001
2018-2019,Mumps,7,Eastern Ontario Health Unit,94.8,2011
2018-2019,Mumps,17,Eastern Ontario Health Unit,95.9,2001
2018-2019,Mumps,7,Grand Erie Public Health,92.8,2011
2018-2019,Mumps,17,Grand Erie Public Health,92.7,2001
2018-2019,Mumps,7,Grey Bruce Health Unit,94.2,2011
2018-2019,Mumps,17,Grey Bruce Health Unit,92.7,2001
2018-2019,Mumps,7,Grey Bruce Public Health,94.2,2011
2018-2019,Mumps,17,Grey Bruce Public Health,92.7,2001
2018-2019,Mumps,7,Haldimand-Norfolk Health Unit,89.8,2011
2018-2019,Mumps,17,Haldimand-Norfolk Health Unit,88.5,2001
2018-2019,Mumps,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",93.9,2011
2018-2019,Mumps,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",97.3,2001
2018-2019,Mumps,7,Halton Region Public Health,49.9,2011
2018-2019,Mumps,17,Halton Region Public Health,95.9,2001
2018-2019,Mumps,7,Hastings Prince Edward Public Health,95.4,2011
2018-2019,Mumps,17,Hastings Prince Edward Public Health,98.2,2001
2018-2019,Mumps,7,Huron Perth Public Health,92.5,2011
2018-2019,Mumps,17,Huron Perth Public Health,91.5,2001
2018-2019,Mumps,7,"Kingston, Frontenac and Lennox & Addington Public Health",97.8,2011
2018-2019,Mumps,17,"Kingston, Frontenac and Lennox & Addington Public Health",97.5,2001
2018-2019,Mumps,7,Lakelands Public Health,93.7,2011
2018-2019,Mumps,17,Lakelands Public Health,97.1,2001
2018-2019,Mumps,7,Lambton Public Health,94.6,2011
2018-2019,Mumps,17,Lambton Public Health,98.3,2001
2018-2019,Mumps,7,"Leeds, Grenville & Lanark District Health Unit",94.4,2011
2018-2019,Mumps,17,"Leeds, Grenville & Lanark District Health Unit",88.2,2001
2018-2019,Mumps,7,Middlesex-London Health Unit,89.2,2011
2018-2019,Mumps,17,Middlesex-London Health Unit,94.3,2001
2018-2019,Mumps,7,Niagara Region Public Health,88.7,2011
2018-2019,Mumps,17,Niagara Region Public Health,96.2,2001
2018-2019,Mumps,7,North Bay Parry Sound District Health Unit,95.5,2011
2018-2019,Mumps,17,North Bay Parry Sound District Health Unit,97.7,2001
2018-2019,Mumps,7,Northeastern Public Health,93.8,2011
2018-2019,Mumps,17,Northeastern Public Health,98.7,2001
2018-2019,Mumps,7,Northwestern Health Unit,86.8,2011
2018-2019,Mumps,17,Northwestern Health Unit,90.2,2001
2018-2019,Mumps,7,Ontario,86.5,2011
2018-2019,Mumps,17,Ontario,95.2,2001
2018-2019,Mumps,7,Ottawa Public Health,86.6,2011
2018-2019,Mumps,17,Ottawa Public Health,97.2,2001
2018-2019,Mumps,7,Peel Public Health,87.5,2011
2018-2019,Mumps,17,Peel Public Health,97.0,2001
2018-2019,Mumps,7,Peterborough Public Health,93.4,2011
2018-2019,Mumps,17,Peterborough Public Health,96.8,2001
2018-2019,Mumps,7,Porcupine Health Unit,95.8,2011
2018-2019,Mumps,17,Porcupine Health Unit,98.6,2001
2018-2019,Mumps,7,Public Health Sudbury & Districts,94.6,2011
2018-2019,Mumps,17,Public Health Sudbury & Districts,98.1,2001
2018-2019,Mumps,7,Region of Waterloo Public Health and Emergency Services,93.7,2011
2018-2019,Mumps,17,Region of Waterloo Public Health and Emergency Services,95.9,2001
2018-2019,Mumps,7,Region of Waterloo Public Health and Paramedic Services,93.7,2011
2018-2019,Mumps,17,Region of Waterloo Public Health and Paramedic Services,95.9,2001
2018-2019,Mumps,7,Renfrew County and District Health Unit,97.2,2011
2018-2019,Mumps,17,Renfrew County and District Health Unit,98.4,2001
2018-2019,Mumps,7,Simcoe Muskoka District Health Unit,93.1,2011
2018-2019,Mumps,17,Simcoe Muskoka District Health Unit,94.8,2001
2018-2019,Mumps,7,Southeast Public Health,96.0,2011
2018-2019,Mumps,17,Southeast Public Health,94.7,2001
2018-2019,Mumps,7,Southwestern Public Health,89.9,2011
2018-2019,Mumps,17,Southwestern Public Health,95.2,2001
2018-2019,Mumps,7,Thunder Bay District Health Unit,86.2,2011
2018-2019,Mumps,17,Thunder Bay District Health Unit,97.6,2001
2018-2019,Mumps,7,Timiskaming Health Unit,88.6,2011
2018-2019,Mumps,17,Timiskaming Health Unit,99.1,2001
2018-2019,Mumps,7,Toronto Public Health,84.0,2011
2018-2019,Mumps,17,Toronto Public Health,94.9,2001
2018-2019,Mumps,7,Wellington-Dufferin-Guelph Public Health,95.2,2011
2018-2019,Mumps,17,Wellington-Dufferin-Guelph Public Health,96.6,2001
2018-2019,Mumps,7,Windsor-Essex County Health Unit,69.1,2011
2018-2019,Mumps,17,Windsor-Essex County Health Unit,96.3,2001
2018-2019,Mumps,7,York Region Public Health,85.4,2011
2018-2019,Mumps,17,York Region Public Health,92.6,2001
2018-2019,Pertussis,7,Algoma Public Health,75.0,2011
2018-2019,Pertussis,17,Algoma Public Health,81.2,2001
2018-2019,Pertussis,7,Brant County Health Unit,94.7,2011
2018-2019,Pertussis,17,Brant County Health Unit,83.6,2001
2018-2019,Pertussis,7,Chatham-Kent Public Health,94.5,2011
2018-2019,Pertussis,17,Chatham-Kent Public Health,87.4,2001
2018-2019,Pertussis,7,City of Hamilton Public Health Services,89.9,2011
2018-2019,Pertussis,17,City of Hamilton Public Health Services,72.4,2001
2018-2019,Pertussis,7,Durham Region Health Department,94.5,2011
2018-2019,Pertussis,17,Durham Region Health Department,87.0,2001
2018-2019,Pertussis,7,Eastern Ontario Health Unit,94.2,2011
2018-2019,Pertussis,17,Eastern Ontario Health Unit,86.7,2001
2018-2019,Pertussis,7,Grand Erie Public Health,92.0,2011
2018-2019,Pertussis,17,Grand Erie Public Health,80.7,2001
2018-2019,Pertussis,7,Grey Bruce Health Unit,93.8,2011
2018-2019,Pertussis,17,Grey Bruce Health Unit,84.8,2001
2018-2019,Pertussis,7,Grey Bruce Public Health,93.8,2011
2018-2019,Pertussis,17,Grey Bruce Public Health,84.8,2001
2018-2019,Pertussis,7,Haldimand-Norfolk Health Unit,88.3,2011
2018-2019,Pertussis,17,Haldimand-Norfolk Health Unit,76.9,2001
2018-2019,Pertussis,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",94.0,2011
2018-2019,Pertussis,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",78.6,2001
2018-2019,Pertussis,7,Halton Region Public Health,47.5,2011
2018-2019,Pertussis,17,Halton Region Public Health,83.2,2001
2018-2019,Pertussis,7,Hastings Prince Edward Public Health,95.4,2011
2018-2019,Pertussis,17,Hastings Prince Edward Public Health,90.3,2001
2018-2019,Pertussis,7,Huron Perth Public Health,92.5,2011
2018-2019,Pertussis,17,Huron Perth Public Health,84.9,2001
2018-2019,Pertussis,7,"Kingston, Frontenac and Lennox & Addington Public Health",97.5,2011
2018-2019,Pertussis,17,"Kingston, Frontenac and Lennox & Addington Public Health",90.7,2001
2018-2019,Pertussis,7,Lakelands Public Health,93.4,2011
2018-2019,Pertussis,17,Lakelands Public Health,80.8,2001
2018-2019,Pertussis,7,Lambton Public Health,94.5,2011
2018-2019,Pertussis,17,Lambton Public Health,85.0,2001
2018-2019,Pertussis,7,"Leeds, Grenville & Lanark District Health Unit",94.3,2011
2018-2019,Pertussis,17,"Leeds, Grenville & Lanark District Health Unit",77.4,2001
2018-2019,Pertussis,7,Middlesex-London Health Unit,87.7,2011
2018-2019,Pertussis,17,Middlesex-London Health Unit,80.8,2001
2018-2019,Pertussis,7,Niagara Region Public Health,88.0,2011
2018-2019,Pertussis,17,Niagara Region Public Health,84.6,2001
2018-2019,Pertussis,7,North Bay Parry Sound District Health Unit,95.3,2011
2018-2019,Pertussis,17,North Bay Parry Sound District Health Unit,81.8,2001
2018-2019,Pertussis,7,Northeastern Public Health,93.1,2011
2018-2019,Pertussis,17,Northeastern Public Health,89.5,2001
2018-2019,Pertussis,7,Northwestern Health Unit,86.8,2011
2018-2019,Pertussis,17,Northwestern Health Unit,75.9,2001
2018-2019,Pertussis,7,Ontario,85.7,2011
2018-2019,Pertussis,17,Ontario,82.6,2001
2018-2019,Pertussis,7,Ottawa Public Health,85.4,2011
2018-2019,Pertussis,17,Ottawa Public Health,81.5,2001
2018-2019,Pertussis,7,Peel Public Health,87.3,2011
2018-2019,Pertussis,17,Peel Public Health,87.2,2001
2018-2019,Pertussis,7,Peterborough Public Health,92.7,2011
2018-2019,Pertussis,17,Peterborough Public Health,83.6,2001
2018-2019,Pertussis,7,Porcupine Health Unit,95.1,2011
2018-2019,Pertussis,17,Porcupine Health Unit,89.5,2001
2018-2019,Pertussis,7,Public Health Sudbury & Districts,94.4,2011
2018-2019,Pertussis,17,Public Health Sudbury & Districts,86.4,2001
2018-2019,Pertussis,7,Region of Waterloo Public Health and Emergency Services,93.2,2011
2018-2019,Pertussis,17,Region of Waterloo Public Health and Emergency Services,85.7,2001
2018-2019,Pertussis,7,Region of Waterloo Public Health and Paramedic Services,93.2,2011
2018-2019,Pertussis,17,Region of Waterloo Public Health and Paramedic Services,85.7,2001
2018-2019,Pertussis,7,Renfrew County and District Health Unit,97.3,2011
2018-2019,Pertussis,17,Renfrew County and District Health Unit,94.3,2001
2018-2019,Pertussis,7,Simcoe Muskoka District Health Unit,92.9,2011
2018-2019,Pertussis,17,Simcoe Muskoka District Health Unit,80.0,2001
2018-2019,Pertussis,7,Southeast Public Health,95.8,2011
2018-2019,Pertussis,17,Southeast Public Health,86.3,2001
2018-2019,Pertussis,7,Southwestern Public Health,89.7,2011
2018-2019,Pertussis,17,Southwestern Public Health,82.2,2001
2018-2019,Pertussis,7,Thunder Bay District Health Unit,85.2,2011
2018-2019,Pertussis,17,Thunder Bay District Health Unit,91.0,2001
2018-2019,Pertussis,7,Timiskaming Health Unit,88.0,2011
2018-2019,Pertussis,17,Timiskaming Health Unit,89.7,2001
2018-2019,Pertussis,7,Toronto Public Health,82.8,2011
2018-2019,Pertussis,17,Toronto Public Health,79.5,2001
2018-2019,Pertussis,7,Wellington-Dufferin-Guelph Public Health,94.3,2011
2018-2019,Pertussis,17,Wellington-Dufferin-Guelph Public Health,86.0,2001
2018-2019,Pertussis,7,Windsor-Essex County Health Unit,67.2,2011
2018-2019,Pertussis,17,Windsor-Essex County Health Unit,84.6,2001
2018-2019,Pertussis,7,York Region Public Health,84.9,2011
2018-2019,Pertussis,17,York Region Public Health,79.2,2001
2018-2019,Pneumo,7,Algoma Public Health,88.4,2011
2018-2019,Pneumo,7,Brant County Health Unit,82.8,2011
2018-2019,Pneumo,7,Chatham-Kent Public Health,86.4,2011
2018-2019,Pneumo,7,City of Hamilton Public Health Services,75.2,2011
2018-2019,Pneumo,7,Durham Region Health Department,80.1,2011
2018-2019,Pneumo,7,Eastern Ontario Health Unit,81.8,2011
2018-2019,Pneumo,7,Grand Erie Public Health,78.7,2011
2018-2019,Pneumo,7,Grey Bruce Health Unit,86.4,2011
2018-2019,Pneumo,7,Grey Bruce Public Health,86.4,2011
2018-2019,Pneumo,7,Haldimand-Norfolk Health Unit,72.9,2011
2018-2019,Pneumo,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",79.5,2011
2018-2019,Pneumo,7,Halton Region Public Health,71.6,2011
2018-2019,Pneumo,7,Hastings Prince Edward Public Health,86.1,2011
2018-2019,Pneumo,7,Huron Perth Public Health,85.4,2011
2018-2019,Pneumo,7,"Kingston, Frontenac and Lennox & Addington Public Health",88.7,2011
2018-2019,Pneumo,7,Lakelands Public Health,78.7,2011
2018-2019,Pneumo,7,Lambton Public Health,74.2,2011
2018-2019,Pneumo,7,"Leeds, Grenville & Lanark District Health Unit",80.9,2011
2018-2019,Pneumo,7,Middlesex-London Health Unit,78.2,2011
2018-2019,Pneumo,7,Niagara Region Public Health,84.1,2011
2018-2019,Pneumo,7,North Bay Parry Sound District Health Unit,85.6,2011
2018-2019,Pneumo,7,Northeastern Public Health,90.7,2011
2018-2019,Pneumo,7,Northwestern Health Unit,83.5,2011
2018-2019,Pneumo,7,Ontario,76.6,2011
2018-2019,Pneumo,7,Ottawa Public Health,80.4,2011
2018-2019,Pneumo,7,Peel Public Health,72.2,2011
