public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
City of Hamilton Public Health Services,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,616455,0.0
City of Hamilton Public Health Services,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,13,616455,2.1088319504262274
City of Hamilton Public Health Services,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,4,616455,0.6488713693619161
City of Hamilton Public Health Services,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,14,616455,2.271049792766706
City of Hamilton Public Health Services,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,22,616455,3.5687925314905384
City of Hamilton Public Health Services,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,35,616455,5.677624481916766
Durham Region Health Department,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,2,767508,0.2605836030373624
Durham Region Health Department,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,767508,0.5211672060747249
Durham Region Health Department,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,44,767508,5.732839266821975
Durham Region Health Department,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,13,767508,1.6937934197428564
Durham Region Health Department,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,58,767508,7.556924488083511
Durham Region Health Department,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,65,767508,8.46896709871428
Durham Region Health Department,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,767508,0.0
Durham Region Health Department,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,767508,0.2605836030373624
Durham Region Health Department,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,0,767508,0.0
Durham Region Health Department,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,767508,0.2605836030373624
Durham Region Health Department,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,9,767508,1.1726262136681311
Durham Region Health Department,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,5,767508,0.6514590075934062
Eastern Ontario Health Unit,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,3,229014,1.3099635830123924
Eastern Ontario Health Unit,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,229014,0.8733090553415948
Eastern Ontario Health Unit,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,28,229014,12.226326774782327
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,8,229014,3.493236221366379
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,31,229014,13.53629035779472
Eastern Ontario Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,35,229014,15.28290846847791
Eastern Ontario Health Unit,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,229014,0.0
Eastern Ontario Health Unit,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,3,229014,1.3099635830123924
Eastern Ontario Health Unit,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,0,229014,0.0
Eastern Ontario Health Unit,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,229014,0.8733090553415948
Eastern Ontario Health Unit,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,229014,0.8733090553415948
Eastern Ontario Health Unit,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,229014,0.8733090553415948
Grand Erie Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,2,296036,0.6755935088975665
Grand Erie Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,296036,0.6755935088975665
Grand Erie Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,17,296036,5.742544825629316
Grand Erie Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,15,296036,5.066951316731749
Grand Erie Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,39,296036,13.174073423502549
Grand Erie Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,45,296036,15.200853950195247
Grand Erie Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,296036,0.0
Grand Erie Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,4,296036,1.351187017795133
Grand Erie Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,296036,0.3377967544487832
Grand Erie Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,296036,0.3377967544487832
Grand Erie Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,11,296036,3.715764298936616
Grand Erie Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,296036,1.351187017795133
Grey Bruce Health Unit,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,4,188295,2.1243261902865185
Grey Bruce Health Unit,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,188295,0.5310815475716296
Grey Bruce Health Unit,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,8,188295,4.248652380573037
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,6,188295,3.186489285429778
Grey Bruce Health Unit,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,13,188295,6.904060118431185
Grey Bruce Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,15,188295,7.966223213574445
Grey Bruce Health Unit,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,188295,0.0
Grey Bruce Health Unit,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,188295,0.5310815475716296
Grey Bruce Health Unit,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,0,188295,0.0
Grey Bruce Health Unit,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,188295,0.0
Grey Bruce Health Unit,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,5,188295,2.655407737858148
Grey Bruce Health Unit,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,188295,1.0621630951432592
Halton Region Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,1,644520,0.1551542232979581
Halton Region Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,644520,0.1551542232979581
Halton Region Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,12,644520,1.8618506795754977
Halton Region Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,8,644520,1.241233786383665
Halton Region Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,17,644520,2.637621796065289
Halton Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,23,644520,3.5685471358530383
Halton Region Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,644520,0.0
Halton Region Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,4,644520,0.6206168931918327
Halton Region Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,2,644520,0.3103084465959163
Halton Region Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,644520,0.3103084465959163
Halton Region Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,5,644520,0.7757711164897908
Halton Region Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,644520,0.6206168931918327
Huron Perth Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,1,153738,0.6504572714618376
Huron Perth Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,153738,0.0
Huron Perth Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,4,153738,2.6018290858473505
Huron Perth Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,4,153738,2.6018290858473505
Huron Perth Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,11,153738,7.155029986080214
Huron Perth Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,13,153738,8.45594452900389
Huron Perth Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,153738,0.0
Huron Perth Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,153738,1.3009145429236753
Huron Perth Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,153738,0.6504572714618376
Huron Perth Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,153738,0.6504572714618376
Huron Perth Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,153738,0.6504572714618376
Huron Perth Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,153738,0.6504572714618376
Lakelands Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,5,363641,1.3749824689735206
Lakelands Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,363641,0.8249894813841123
Lakelands Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,31,363641,8.524891307635828
Lakelands Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,11,363641,3.0249614317417453
Lakelands Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,51,363641,14.02482118352991
Lakelands Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,60,363641,16.499789627682247
Lakelands Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,363641,0.0
Lakelands Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,363641,0.2749964937947041
Lakelands Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,0,363641,0.0
Lakelands Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,363641,0.5499929875894082
Lakelands Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,10,363641,2.749964937947041
Lakelands Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,7,363641,1.924975456562929
Middlesex-London Health Unit,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,2,562077,0.3558231345527392
Middlesex-London Health Unit,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,562077,0.7116462691054785
Middlesex-London Health Unit,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,562077,0.3558231345527392
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,11,562077,1.957027240040066
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,42,562077,7.472285825607524
Middlesex-London Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,61,562077,10.852605603858546
Middlesex-London Health Unit,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,562077,0.0
Middlesex-London Health Unit,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,10,562077,1.779115672763696
Middlesex-London Health Unit,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,3,562077,0.5337347018291089
Middlesex-London Health Unit,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,6,562077,1.0674694036582175
Middlesex-London Health Unit,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,13,562077,2.312850374592805
Middlesex-London Health Unit,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,13,562077,2.312850374592805
Niagara Region Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,2,524301,0.3814602680521303
Niagara Region Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,524301,0.7629205361042607
Niagara Region Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,58,524301,11.062347773511782
Niagara Region Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,24,524301,4.577523216625564
Niagara Region Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,80,524301,15.258410722085214
Niagara Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,94,524301,17.928632598450125
Niagara Region Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,524301,0.0
Niagara Region Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,15,524301,2.8609520103909776
Niagara Region Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,524301,0.1907301340260651
Niagara Region Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,524301,0.3814602680521303
Niagara Region Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,24,524301,4.577523216625564
Niagara Region Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,12,524301,2.288761608312782
Ontario,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,83,15623207,0.5312609632580558
Ontario,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,91,15623207,0.5824668392347359
Ontario,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,798,15623207,5.107786128673838
Ontario,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,585,15623207,3.744429680794731
Ontario,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1593,15623207,10.19637005385642
Ontario,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,1976,15623207,12.64785136623998
Ontario,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,10,15623207,0.0640073449708501
Ontario,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,188,15623207,1.2033380854519815
Ontario,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,79,15623207,0.5056580252697157
Ontario,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,154,15623207,0.9857131125510916
Ontario,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,216,15623207,1.382558651370362
Ontario,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,229,15623207,1.4657681998324672
Ottawa Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,11,1115724,0.9859069088771056
Ottawa Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,9,1115724,0.8066511072630866
Ottawa Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,71,1115724,6.363580957297684
Ottawa Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,63,1115724,5.646557750841605
Ottawa Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,145,1115724,12.996045617016394
Ottawa Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,185,1115724,16.581161649296778
Ottawa Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,1115724,0.2688837024210289
Ottawa Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,17,1115724,1.5236743137191635
Ottawa Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,16,1115724,1.434046412912154
Ottawa Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,23,1115724,2.061441718561221
Ottawa Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,8,1115724,0.717023206456077
Ottawa Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,17,1115724,1.5236743137191635
Peel Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,3,1592893,0.1883365674907228
Peel Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,1592893,0.1883365674907228
Peel Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,89,1592893,5.587318168891445
Peel Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,48,1592893,3.0133850798515653
Peel Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,85,1592893,5.336202745570481
Peel Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,113,1592893,7.094010708817227
Peel Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,1592893,0.0
Peel Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,24,1592893,1.506692539925783
Peel Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,9,1592893,0.5650097024721685
Peel Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,12,1592893,0.7533462699628913
Peel Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,22,1592893,1.3811348282653009
Peel Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,17,1592893,1.0672405491140962
Public Health Sudbury & Districts,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,3,218455,1.373280538325971
Public Health Sudbury & Districts,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,218455,0.4577601794419903
Public Health Sudbury & Districts,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,53,218455,24.261289510425488
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,16,218455,7.324162871071845
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,43,218455,19.683687716005583
Public Health Sudbury & Districts,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,47,218455,21.514728433773545
Public Health Sudbury & Districts,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,218455,0.4577601794419903
Public Health Sudbury & Districts,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,218455,0.9155203588839806
Public Health Sudbury & Districts,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,218455,0.4577601794419903
Public Health Sudbury & Districts,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,218455,0.4577601794419903
Public Health Sudbury & Districts,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,7,218455,3.204321256093933
Public Health Sudbury & Districts,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,218455,1.373280538325971
Region of Waterloo Public Health and Emergency Services,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,1,673843,0.1484025210620278
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,673843,0.4452075631860834
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,19,673843,2.8196479001785284
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,18,673843,2.6712453791165007
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,40,673843,5.936100842481112
Region of Waterloo Public Health and Emergency Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,52,673843,7.716931095225446
Region of Waterloo Public Health and Emergency Services,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,673843,0.0
Region of Waterloo Public Health and Emergency Services,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,673843,0.2968050421240556
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,673843,0.1484025210620278
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,7,673843,1.0388176474341946
Region of Waterloo Public Health and Emergency Services,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,2,673843,0.2968050421240556
Region of Waterloo Public Health and Emergency Services,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,5,673843,0.742012605310139
Simcoe Muskoka District Health Unit,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,5,658247,0.7595932833723511
Simcoe Muskoka District Health Unit,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,658247,0.6076746266978809
Simcoe Muskoka District Health Unit,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,28,658247,4.253722386885166
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,32,658247,4.861397013583047
Simcoe Muskoka District Health Unit,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,67,658247,10.178549997189505
Simcoe Muskoka District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,83,658247,12.609248503981028
Simcoe Muskoka District Health Unit,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,658247,0.0
Simcoe Muskoka District Health Unit,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,658247,0.1519186566744702
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,658247,0.1519186566744702
Simcoe Muskoka District Health Unit,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,658247,0.6076746266978809
Simcoe Muskoka District Health Unit,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,0,658247,0.0
Simcoe Muskoka District Health Unit,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,12,658247,1.8230238800936427
South East Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,4,600935,0.6656293941940477
South East Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,4,600935,0.6656293941940477
South East Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,19,600935,3.161739622421726
South East Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,30,600935,4.992220456455357
South East Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,70,600935,11.648514398395834
South East Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,78,600935,12.979773186783929
South East Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,600935,0.0
South East Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,600935,0.1664073485485119
South East Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,1,600935,0.1664073485485119
South East Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,600935,0.1664073485485119
South East Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,4,600935,0.6656293941940477
South East Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,7,600935,1.1648514398395833
Southwestern Public Health,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,3,235367,1.2746051910420746
Southwestern Public Health,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,235367,0.4248683970140249
Southwestern Public Health,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,14,235367,5.948157558196349
Southwestern Public Health,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,12,235367,5.098420764168298
Southwestern Public Health,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,52,235367,22.09315664472929
Southwestern Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,57,235367,24.217498629799422
Southwestern Public Health,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,235367,0.4248683970140249
Southwestern Public Health,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,1,235367,0.4248683970140249
Southwestern Public Health,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,2,235367,0.8497367940280498
Southwestern Public Health,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,2,235367,0.8497367940280498
Southwestern Public Health,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,6,235367,2.549210382084149
Southwestern Public Health,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,235367,1.2746051910420746
Thunder Bay District Health Unit,COVID-19 deaths,2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,COVID-19 hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,3,161835,1.853739920289184
Thunder Bay District Health Unit,COVID-19 hospital admissions,2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,6,161835,3.707479840578367
Thunder Bay District Health Unit,COVID-19 hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,26,161835,16.06574597583959
Thunder Bay District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2023-24,49,2023-12-03,2023-12-09,26,161835,16.06574597583959
Thunder Bay District Health Unit,Influenza hospital ICU bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,1,161835,0.6179133067630611
Thunder Bay District Health Unit,Influenza hospital admissions,2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,Influenza hospital bed occupancy (due to infection),2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,Influenza hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,RSV hospital admissions,2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
Thunder Bay District Health Unit,RSV hospital bed occupancy (total),2023-24,49,2023-12-03,2023-12-09,0,161835,0.0
