Public_health_unit,Antigen,Age,Year,Coverage
Public Health Sudbury & Districts,HepB,17,2022-2023,80.2
Public Health Sudbury & Districts,Hib,7,2022-2023,88.6
Public Health Sudbury & Districts,MCC,7,2022-2023,96.3
Public Health Sudbury & Districts,MCV4,12,2022-2023,91.2
Public Health Sudbury & Districts,MCV4,17,2022-2023,96.4
Public Health Sudbury & Districts,Measles,17,2022-2023,97.2
Public Health Sudbury & Districts,Measles,7,2022-2023,84.1
Public Health Sudbury & Districts,Mumps,17,2022-2023,97.2
Public Health Sudbury & Districts,Mumps,7,2022-2023,84
Public Health Sudbury & Districts,Pertussis,17,2022-2023,77.7
Public Health Sudbury & Districts,Pertussis,7,2022-2023,82.8
Public Health Sudbury & Districts,Pneumo,7,2022-2023,90.5
Public Health Sudbury & Districts,Polio,17,2022-2023,96.1
Public Health Sudbury & Districts,Polio,7,2022-2023,83.2
Public Health Sudbury & Districts,Rota,7,2022-2023,79.9
Public Health Sudbury & Districts,Rubella,17,2022-2023,97.9
Public Health Sudbury & Districts,Rubella,7,2022-2023,97.2
Public Health Sudbury & Districts,Tetanus,17,2022-2023,77.7
Public Health Sudbury & Districts,Tetanus,7,2022-2023,82.9
Public Health Sudbury & Districts,Varicella,7,2022-2023,81.5
Public Health Sudbury & Districts,Diphtheria,17,2023-2024,85.4
Public Health Sudbury & Districts,Diphtheria,7,2023-2024,83.9
Public Health Sudbury & Districts,HPV,12,2023-2024,61.5
Public Health Sudbury & Districts,HPV,17,2023-2024,74.2
Public Health Sudbury & Districts,HepB,12,2023-2024,66.5
Public Health Sudbury & Districts,HepB,17,2023-2024,78.6
Public Health Sudbury & Districts,Hib,7,2023-2024,83.9
Public Health Sudbury & Districts,MCC,7,2023-2024,94.8
Public Health Sudbury & Districts,MCV4,12,2023-2024,92.7
Public Health Sudbury & Districts,MCV4,17,2023-2024,96.5
Public Health Sudbury & Districts,Measles,17,2023-2024,97.8
Public Health Sudbury & Districts,Measles,7,2023-2024,84.9
Public Health Sudbury & Districts,Mumps,17,2023-2024,97.7
Public Health Sudbury & Districts,Mumps,7,2023-2024,84.6
Public Health Sudbury & Districts,Pertussis,17,2023-2024,85.3
Public Health Sudbury & Districts,Pertussis,7,2023-2024,83.7
Public Health Sudbury & Districts,Pneumo,7,2023-2024,85.8
Public Health Sudbury & Districts,Polio,17,2023-2024,96.3
Public Health Sudbury & Districts,Polio,7,2023-2024,82.5
Public Health Sudbury & Districts,Rota,7,2023-2024,78.2
Public Health Sudbury & Districts,Rubella,17,2023-2024,98.3
Public Health Sudbury & Districts,Rubella,7,2023-2024,96.3
Public Health Sudbury & Districts,Tetanus,17,2023-2024,85.5
Public Health Sudbury & Districts,Tetanus,7,2023-2024,83.9
Public Health Sudbury & Districts,Varicella,7,2023-2024,82.7
Public Health Sudbury & Districts,Diphtheria,17,2024-2025,79.8
Public Health Sudbury & Districts,Diphtheria,7,2024-2025,92.7
Public Health Sudbury & Districts,HPV,12,2024-2025,54.6
Public Health Sudbury & Districts,HPV,17,2024-2025,61.5
Public Health Sudbury & Districts,HepB,12,2024-2025,60.3
Public Health Sudbury & Districts,HepB,17,2024-2025,61.8
Public Health Sudbury & Districts,Hib,7,2024-2025,83
Public Health Sudbury & Districts,MCC,7,2024-2025,97.1
Public Health Sudbury & Districts,MCV4,12,2024-2025,79.3
Public Health Sudbury & Districts,MCV4,17,2024-2025,96.6
Public Health Sudbury & Districts,Measles,17,2024-2025,97.4
Public Health Sudbury & Districts,Measles,7,2024-2025,94.1
Public Health Sudbury & Districts,Mumps,17,2024-2025,97.4
Public Health Sudbury & Districts,Mumps,7,2024-2025,93.8
Public Health Sudbury & Districts,Pertussis,17,2024-2025,79.9
Public Health Sudbury & Districts,Pertussis,7,2024-2025,92.7
Public Health Sudbury & Districts,Pneumo,7,2024-2025,84.2
Public Health Sudbury & Districts,Polio,17,2024-2025,96.2
Public Health Sudbury & Districts,Polio,7,2024-2025,91.1
Public Health Sudbury & Districts,Rota,7,2024-2025,79.3
Public Health Sudbury & Districts,Rubella,17,2024-2025,98.5
Public Health Sudbury & Districts,Rubella,7,2024-2025,97.4
Public Health Sudbury & Districts,Tetanus,17,2024-2025,79.8
Public Health Sudbury & Districts,Tetanus,7,2024-2025,92.7
Public Health Sudbury & Districts,Varicella,7,2024-2025,92.7
Thunder Bay District Health Unit,Diphtheria,17,2015-2016,73.1
Thunder Bay District Health Unit,Diphtheria,7,2015-2016,91.5
Thunder Bay District Health Unit,HepB,12,2015-2016,59.4
Thunder Bay District Health Unit,Hib,7,2015-2016,82.9
Thunder Bay District Health Unit,MCC,7,2015-2016,96.3
Thunder Bay District Health Unit,MCV4,12,2015-2016,81.5
Thunder Bay District Health Unit,Measles,17,2015-2016,96.9
Thunder Bay District Health Unit,Measles,7,2015-2016,94.2
Thunder Bay District Health Unit,Mumps,17,2015-2016,96.9
Thunder Bay District Health Unit,Mumps,7,2015-2016,94.2
Thunder Bay District Health Unit,Pertussis,17,2015-2016,71.9
Thunder Bay District Health Unit,Pertussis,7,2015-2016,91.5
Thunder Bay District Health Unit,Pneumo,7,2015-2016,76.5
Thunder Bay District Health Unit,Polio,17,2015-2016,96.2
Thunder Bay District Health Unit,Polio,7,2015-2016,92.4
Thunder Bay District Health Unit,Rubella,17,2015-2016,97.9
Thunder Bay District Health Unit,Rubella,7,2015-2016,97.2
Thunder Bay District Health Unit,Tetanus,17,2015-2016,73.1
Thunder Bay District Health Unit,Tetanus,7,2015-2016,91.5
Thunder Bay District Health Unit,Varicella,7,2015-2016,49.5
Thunder Bay District Health Unit,Diphtheria,17,2016-2017,87.4
Thunder Bay District Health Unit,Diphtheria,7,2016-2017,93.2
Thunder Bay District Health Unit,HPV,12,2016-2017,50.7
Thunder Bay District Health Unit,HepB,12,2016-2017,58.3
Thunder Bay District Health Unit,Hib,7,2016-2017,82.1
Thunder Bay District Health Unit,MCC,7,2016-2017,97.2
Thunder Bay District Health Unit,MCV4,12,2016-2017,76.5
Thunder Bay District Health Unit,Measles,17,2016-2017,97.4
Thunder Bay District Health Unit,Measles,7,2016-2017,94.9
Thunder Bay District Health Unit,Mumps,17,2016-2017,97.4
Thunder Bay District Health Unit,Mumps,7,2016-2017,94.9
Thunder Bay District Health Unit,Pertussis,17,2016-2017,86.8
Thunder Bay District Health Unit,Pertussis,7,2016-2017,93.3
Thunder Bay District Health Unit,Pneumo,7,2016-2017,79.6
Thunder Bay District Health Unit,Polio,17,2016-2017,96.5
Thunder Bay District Health Unit,Polio,7,2016-2017,94.4
Thunder Bay District Health Unit,Rubella,17,2016-2017,98.1
Thunder Bay District Health Unit,Rubella,7,2016-2017,97.7
Thunder Bay District Health Unit,Tetanus,17,2016-2017,87.4
Thunder Bay District Health Unit,Tetanus,7,2016-2017,93.4
Thunder Bay District Health Unit,Varicella,7,2016-2017,49.8
Thunder Bay District Health Unit,Diphtheria,17,2017-2018,93.1
Thunder Bay District Health Unit,Diphtheria,7,2017-2018,93.1
Thunder Bay District Health Unit,HPV,12,2017-2018,51.2
Thunder Bay District Health Unit,HepB,12,2017-2018,57.8
Thunder Bay District Health Unit,Hib,7,2017-2018,85.1
Thunder Bay District Health Unit,MCC,7,2017-2018,97.2
Thunder Bay District Health Unit,MCV4,12,2017-2018,79.7
Thunder Bay District Health Unit,Measles,17,2017-2018,97.5
Thunder Bay District Health Unit,Measles,7,2017-2018,94.9
Thunder Bay District Health Unit,Mumps,17,2017-2018,97.5
Thunder Bay District Health Unit,Mumps,7,2017-2018,94.9
Thunder Bay District Health Unit,Pertussis,17,2017-2018,92.8
Thunder Bay District Health Unit,Pertussis,7,2017-2018,93.1
Thunder Bay District Health Unit,Pneumo,7,2017-2018,72.9
Thunder Bay District Health Unit,Polio,17,2017-2018,97.1
Thunder Bay District Health Unit,Polio,7,2017-2018,94
Thunder Bay District Health Unit,Rubella,17,2017-2018,98.4
Thunder Bay District Health Unit,Rubella,7,2017-2018,97.9
Thunder Bay District Health Unit,Tetanus,17,2017-2018,93.1
Thunder Bay District Health Unit,Tetanus,7,2017-2018,93.1
Thunder Bay District Health Unit,Varicella,7,2017-2018,92
Thunder Bay District Health Unit,Diphtheria,17,2018-2019,91.4
Thunder Bay District Health Unit,Diphtheria,7,2018-2019,85.2
Thunder Bay District Health Unit,HPV,12,2018-2019,49.7
Thunder Bay District Health Unit,HPV,17,2018-2019,64.5
Thunder Bay District Health Unit,HepB,12,2018-2019,56.8
Thunder Bay District Health Unit,HepB,17,2018-2019,76.3
Thunder Bay District Health Unit,Hib,7,2018-2019,86.7
Thunder Bay District Health Unit,MCC,7,2018-2019,96.7
Thunder Bay District Health Unit,MCV4,12,2018-2019,78.7
Thunder Bay District Health Unit,MCV4,17,2018-2019,95.7
Thunder Bay District Health Unit,Measles,17,2018-2019,97.7
Thunder Bay District Health Unit,Measles,7,2018-2019,86.2
Thunder Bay District Health Unit,Mumps,17,2018-2019,97.6
Thunder Bay District Health Unit,Mumps,7,2018-2019,86.2
Thunder Bay District Health Unit,Pertussis,17,2018-2019,91
Thunder Bay District Health Unit,Pertussis,7,2018-2019,85.2
Thunder Bay District Health Unit,Pneumo,7,2018-2019,78.3
Thunder Bay District Health Unit,Polio,17,2018-2019,97.4
Thunder Bay District Health Unit,Polio,7,2018-2019,85.7
Thunder Bay District Health Unit,Rubella,17,2018-2019,98.4
Thunder Bay District Health Unit,Rubella,7,2018-2019,97.4
Thunder Bay District Health Unit,Tetanus,17,2018-2019,91.4
Thunder Bay District Health Unit,Tetanus,7,2018-2019,85.2
Thunder Bay District Health Unit,Varicella,7,2018-2019,82.8
Thunder Bay District Health Unit,Diphtheria,17,2019-2020,85.9
Thunder Bay District Health Unit,Diphtheria,7,2019-2020,90.4
Thunder Bay District Health Unit,HPV,12,2019-2020,63.7
Thunder Bay District Health Unit,HPV,17,2019-2020,57.3
Thunder Bay District Health Unit,HepB,12,2019-2020,63
Thunder Bay District Health Unit,HepB,17,2019-2020,77.6
Thunder Bay District Health Unit,Hib,7,2019-2020,85.9
Thunder Bay District Health Unit,MCC,7,2019-2020,96.7
Thunder Bay District Health Unit,MCV4,12,2019-2020,92.2
Thunder Bay District Health Unit,MCV4,17,2019-2020,94.8
Thunder Bay District Health Unit,Measles,17,2019-2020,96.6
Thunder Bay District Health Unit,Measles,7,2019-2020,91
Thunder Bay District Health Unit,Mumps,17,2019-2020,96.6
Thunder Bay District Health Unit,Mumps,7,2019-2020,91
Thunder Bay District Health Unit,Pertussis,17,2019-2020,85.8
Thunder Bay District Health Unit,Pertussis,7,2019-2020,90.4
Thunder Bay District Health Unit,Pneumo,7,2019-2020,82.9
Thunder Bay District Health Unit,Polio,17,2019-2020,96
Thunder Bay District Health Unit,Polio,7,2019-2020,91.2
Thunder Bay District Health Unit,Rota,7,2019-2020,68.4
Thunder Bay District Health Unit,Rubella,17,2019-2020,97.8
Thunder Bay District Health Unit,Rubella,7,2019-2020,97.3
Thunder Bay District Health Unit,Tetanus,17,2019-2020,85.9
Thunder Bay District Health Unit,Tetanus,7,2019-2020,90.4
Thunder Bay District Health Unit,Varicella,7,2019-2020,88.5
Thunder Bay District Health Unit,Diphtheria,17,2020-2021,80.9
Thunder Bay District Health Unit,Diphtheria,7,2020-2021,78.9
Thunder Bay District Health Unit,HPV,12,2020-2021,55.5
Thunder Bay District Health Unit,HPV,17,2020-2021,61.9
Thunder Bay District Health Unit,HepB,12,2020-2021,58.5
Thunder Bay District Health Unit,HepB,17,2020-2021,75.7
Thunder Bay District Health Unit,Hib,7,2020-2021,88.4
Thunder Bay District Health Unit,MCC,7,2020-2021,96.7
Thunder Bay District Health Unit,MCV4,12,2020-2021,89
Thunder Bay District Health Unit,MCV4,17,2020-2021,95.8
Thunder Bay District Health Unit,Measles,17,2020-2021,97.4
Thunder Bay District Health Unit,Measles,7,2020-2021,79.6
Thunder Bay District Health Unit,Mumps,17,2020-2021,97.4
Thunder Bay District Health Unit,Mumps,7,2020-2021,79.5
Thunder Bay District Health Unit,Pertussis,17,2020-2021,80.5
Thunder Bay District Health Unit,Pertussis,7,2020-2021,78.9
Thunder Bay District Health Unit,Pneumo,7,2020-2021,85.3
Thunder Bay District Health Unit,Polio,17,2020-2021,96.7
Thunder Bay District Health Unit,Polio,7,2020-2021,79.8
Thunder Bay District Health Unit,Rota,7,2020-2021,73.4
Thunder Bay District Health Unit,Rubella,17,2020-2021,98.1
Thunder Bay District Health Unit,Rubella,7,2020-2021,97.5
Thunder Bay District Health Unit,Tetanus,17,2020-2021,80.9
Thunder Bay District Health Unit,Tetanus,7,2020-2021,78.9
Thunder Bay District Health Unit,Varicella,7,2020-2021,76.8
Thunder Bay District Health Unit,Diphtheria,17,2021-2022,70.1
Thunder Bay District Health Unit,Diphtheria,7,2021-2022,74.5
Thunder Bay District Health Unit,HPV,12,2021-2022,63.3
Thunder Bay District Health Unit,HPV,17,2021-2022,61.5
Thunder Bay District Health Unit,HepB,12,2021-2022,67
Thunder Bay District Health Unit,HepB,17,2021-2022,66.1
Thunder Bay District Health Unit,Hib,7,2021-2022,84.4
Thunder Bay District Health Unit,MCC,7,2021-2022,92.6
Thunder Bay District Health Unit,MCV4,12,2021-2022,90
Thunder Bay District Health Unit,MCV4,17,2021-2022,92.4
Thunder Bay District Health Unit,Measles,17,2021-2022,95.1
Thunder Bay District Health Unit,Measles,7,2021-2022,73.5
Thunder Bay District Health Unit,Mumps,17,2021-2022,95.1
Thunder Bay District Health Unit,Mumps,7,2021-2022,73.5
Thunder Bay District Health Unit,Pertussis,17,2021-2022,70.3
Thunder Bay District Health Unit,Pertussis,7,2021-2022,74.4
Thunder Bay District Health Unit,Pneumo,7,2021-2022,82.3
Thunder Bay District Health Unit,Polio,17,2021-2022,94.1
Thunder Bay District Health Unit,Polio,7,2021-2022,74.9
Thunder Bay District Health Unit,Rota,7,2021-2022,73.7
Thunder Bay District Health Unit,Rubella,17,2021-2022,96.2
Thunder Bay District Health Unit,Rubella,7,2021-2022,94.7
Thunder Bay District Health Unit,Tetanus,17,2021-2022,70.1
Thunder Bay District Health Unit,Tetanus,7,2021-2022,74.5
Thunder Bay District Health Unit,Varicella,7,2021-2022,71
Thunder Bay District Health Unit,Diphtheria,17,2022-2023,68.9
Thunder Bay District Health Unit,Diphtheria,7,2022-2023,75
Thunder Bay District Health Unit,HPV,12,2022-2023,65.6
Thunder Bay District Health Unit,HPV,17,2022-2023,64.6
Thunder Bay District Health Unit,HepB,12,2022-2023,69
Thunder Bay District Health Unit,HepB,17,2022-2023,65.3
Thunder Bay District Health Unit,Hib,7,2022-2023,82.6
Thunder Bay District Health Unit,MCC,7,2022-2023,91.6
Thunder Bay District Health Unit,MCV4,12,2022-2023,89.8
Thunder Bay District Health Unit,MCV4,17,2022-2023,90.3
Thunder Bay District Health Unit,Measles,17,2022-2023,94.4
Thunder Bay District Health Unit,Measles,7,2022-2023,75.4
Thunder Bay District Health Unit,Mumps,17,2022-2023,94.4
Thunder Bay District Health Unit,Mumps,7,2022-2023,75.1
Thunder Bay District Health Unit,Pertussis,17,2022-2023,68.7
Thunder Bay District Health Unit,Pertussis,7,2022-2023,74.8
Thunder Bay District Health Unit,Pneumo,7,2022-2023,84
Thunder Bay District Health Unit,Polio,17,2022-2023,93
Thunder Bay District Health Unit,Polio,7,2022-2023,75.7
Thunder Bay District Health Unit,Rota,7,2022-2023,75.8
Thunder Bay District Health Unit,Rubella,17,2022-2023,95.5
Thunder Bay District Health Unit,Rubella,7,2022-2023,93.8
Thunder Bay District Health Unit,Tetanus,17,2022-2023,68.9
Thunder Bay District Health Unit,Tetanus,7,2022-2023,75
Thunder Bay District Health Unit,Varicella,7,2022-2023,73.5
Thunder Bay District Health Unit,Diphtheria,17,2023-2024,86.9
Thunder Bay District Health Unit,Diphtheria,7,2023-2024,87.3
Thunder Bay District Health Unit,HPV,12,2023-2024,62
Thunder Bay District Health Unit,HPV,17,2023-2024,69.8
Thunder Bay District Health Unit,HepB,12,2023-2024,65.1
Thunder Bay District Health Unit,HepB,17,2023-2024,71
Thunder Bay District Health Unit,Hib,7,2023-2024,82.2
Thunder Bay District Health Unit,MCC,7,2023-2024,94.1
Thunder Bay District Health Unit,MCV4,12,2023-2024,89.7
Thunder Bay District Health Unit,MCV4,17,2023-2024,93.5
Thunder Bay District Health Unit,Measles,17,2023-2024,95.8
Thunder Bay District Health Unit,Measles,7,2023-2024,88.6
Thunder Bay District Health Unit,Mumps,17,2023-2024,95.6
Thunder Bay District Health Unit,Mumps,7,2023-2024,88.5
Thunder Bay District Health Unit,Pertussis,17,2023-2024,86.7
Thunder Bay District Health Unit,Pertussis,7,2023-2024,87.3
Thunder Bay District Health Unit,Pneumo,7,2023-2024,82.5
Thunder Bay District Health Unit,Polio,17,2023-2024,95
Thunder Bay District Health Unit,Polio,7,2023-2024,87.5
Thunder Bay District Health Unit,Rota,7,2023-2024,74.9
Thunder Bay District Health Unit,Rubella,17,2023-2024,97.1
Thunder Bay District Health Unit,Rubella,7,2023-2024,95.3
Thunder Bay District Health Unit,Tetanus,17,2023-2024,86.9
Thunder Bay District Health Unit,Tetanus,7,2023-2024,87.3
Thunder Bay District Health Unit,Varicella,7,2023-2024,87.9
Thunder Bay District Health Unit,Diphtheria,17,2024-2025,85.6
Thunder Bay District Health Unit,Diphtheria,7,2024-2025,89.7
Thunder Bay District Health Unit,HPV,12,2024-2025,42.8
Thunder Bay District Health Unit,HPV,17,2024-2025,64.6
Thunder Bay District Health Unit,HepB,12,2024-2025,49.1
Thunder Bay District Health Unit,HepB,17,2024-2025,64.9
Thunder Bay District Health Unit,Hib,7,2024-2025,79.9
Thunder Bay District Health Unit,MCC,7,2024-2025,95.2
Thunder Bay District Health Unit,MCV4,12,2024-2025,73
Thunder Bay District Health Unit,MCV4,17,2024-2025,91.5
Thunder Bay District Health Unit,Measles,17,2024-2025,94.6
Thunder Bay District Health Unit,Measles,7,2024-2025,90.5
Thunder Bay District Health Unit,Mumps,17,2024-2025,94.5
Thunder Bay District Health Unit,Mumps,7,2024-2025,90.5
Thunder Bay District Health Unit,Pertussis,17,2024-2025,85.4
Thunder Bay District Health Unit,Pertussis,7,2024-2025,89.7
Thunder Bay District Health Unit,Pneumo,7,2024-2025,81.8
Thunder Bay District Health Unit,Polio,17,2024-2025,93.8
Thunder Bay District Health Unit,Polio,7,2024-2025,89.9
Thunder Bay District Health Unit,Rota,7,2024-2025,75.6
Thunder Bay District Health Unit,Rubella,17,2024-2025,95.7
Thunder Bay District Health Unit,Rubella,7,2024-2025,96.1
Thunder Bay District Health Unit,Tetanus,17,2024-2025,85.6
Thunder Bay District Health Unit,Tetanus,7,2024-2025,89.7
Thunder Bay District Health Unit,Varicella,7,2024-2025,89
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2015-2016,85.8
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2015-2016,92.2
Region of Waterloo Public Health and Emergency Services,HepB,12,2015-2016,74.4
Region of Waterloo Public Health and Emergency Services,Hib,7,2015-2016,83.2
Region of Waterloo Public Health and Emergency Services,MCC,7,2015-2016,94.5
Region of Waterloo Public Health and Emergency Services,MCV4,12,2015-2016,87
Region of Waterloo Public Health and Emergency Services,Measles,17,2015-2016,96.6
Region of Waterloo Public Health and Emergency Services,Measles,7,2015-2016,95.2
Region of Waterloo Public Health and Emergency Services,Mumps,17,2015-2016,96.3
Region of Waterloo Public Health and Emergency Services,Mumps,7,2015-2016,95.1
Region of Waterloo Public Health and Emergency Services,Pertussis,17,2015-2016,84.8
Region of Waterloo Public Health and Emergency Services,Pertussis,7,2015-2016,92.1
Region of Waterloo Public Health and Emergency Services,Pneumo,7,2015-2016,82.6
Region of Waterloo Public Health and Emergency Services,Polio,17,2015-2016,95.2
Region of Waterloo Public Health and Emergency Services,Polio,7,2015-2016,92.5
Region of Waterloo Public Health and Emergency Services,Rubella,17,2015-2016,97.6
Region of Waterloo Public Health and Emergency Services,Rubella,7,2015-2016,97.3
Region of Waterloo Public Health and Emergency Services,Tetanus,17,2015-2016,85.8
Region of Waterloo Public Health and Emergency Services,Tetanus,7,2015-2016,92.2
Region of Waterloo Public Health and Emergency Services,Varicella,7,2015-2016,52.5
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2016-2017,85.6
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2016-2017,93.3
Region of Waterloo Public Health and Emergency Services,HPV,12,2016-2017,57.2
Region of Waterloo Public Health and Emergency Services,HepB,12,2016-2017,71.1
Region of Waterloo Public Health and Emergency Services,Hib,7,2016-2017,84.8
Region of Waterloo Public Health and Emergency Services,MCC,7,2016-2017,96.3
Region of Waterloo Public Health and Emergency Services,MCV4,12,2016-2017,50.7
Region of Waterloo Public Health and Emergency Services,Measles,17,2016-2017,96.3
Region of Waterloo Public Health and Emergency Services,Measles,7,2016-2017,95.5
Region of Waterloo Public Health and Emergency Services,Mumps,17,2016-2017,96.2
Region of Waterloo Public Health and Emergency Services,Mumps,7,2016-2017,95.5
Region of Waterloo Public Health and Emergency Services,Pertussis,17,2016-2017,85.4
Region of Waterloo Public Health and Emergency Services,Pertussis,7,2016-2017,93.2
Region of Waterloo Public Health and Emergency Services,Pneumo,7,2016-2017,81.9
Region of Waterloo Public Health and Emergency Services,Polio,17,2016-2017,95
Region of Waterloo Public Health and Emergency Services,Polio,7,2016-2017,93.7
Region of Waterloo Public Health and Emergency Services,Rubella,17,2016-2017,97.3
Region of Waterloo Public Health and Emergency Services,Rubella,7,2016-2017,97.4
Region of Waterloo Public Health and Emergency Services,Tetanus,17,2016-2017,85.6
Region of Waterloo Public Health and Emergency Services,Tetanus,7,2016-2017,93.3
Region of Waterloo Public Health and Emergency Services,Varicella,7,2016-2017,60.7
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2017-2018,85.3
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2017-2018,92.1
Region of Waterloo Public Health and Emergency Services,HPV,12,2017-2018,61.2
Region of Waterloo Public Health and Emergency Services,HepB,12,2017-2018,70.8
Region of Waterloo Public Health and Emergency Services,Hib,7,2017-2018,84.5
Region of Waterloo Public Health and Emergency Services,MCC,7,2017-2018,96.7
Region of Waterloo Public Health and Emergency Services,MCV4,12,2017-2018,82
Region of Waterloo Public Health and Emergency Services,Measles,17,2017-2018,96.1
Region of Waterloo Public Health and Emergency Services,Measles,7,2017-2018,93.5
Region of Waterloo Public Health and Emergency Services,Mumps,17,2017-2018,96
Region of Waterloo Public Health and Emergency Services,Mumps,7,2017-2018,93.5
Region of Waterloo Public Health and Emergency Services,Pertussis,17,2017-2018,85.3
Region of Waterloo Public Health and Emergency Services,Pertussis,7,2017-2018,92.1
Region of Waterloo Public Health and Emergency Services,Pneumo,7,2017-2018,72.8
Region of Waterloo Public Health and Emergency Services,Polio,17,2017-2018,94.6
Region of Waterloo Public Health and Emergency Services,Polio,7,2017-2018,92.9
Region of Waterloo Public Health and Emergency Services,Rubella,17,2017-2018,97.5
Region of Waterloo Public Health and Emergency Services,Rubella,7,2017-2018,97.4
Region of Waterloo Public Health and Emergency Services,Tetanus,17,2017-2018,85.3
Region of Waterloo Public Health and Emergency Services,Tetanus,7,2017-2018,92.1
Region of Waterloo Public Health and Emergency Services,Varicella,7,2017-2018,91.4
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2018-2019,85.3
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2018-2019,93.2
Region of Waterloo Public Health and Emergency Services,HPV,12,2018-2019,60.1
Region of Waterloo Public Health and Emergency Services,HPV,17,2018-2019,60.4
Region of Waterloo Public Health and Emergency Services,HepB,12,2018-2019,69.5
Region of Waterloo Public Health and Emergency Services,HepB,17,2018-2019,80.7
Region of Waterloo Public Health and Emergency Services,Hib,7,2018-2019,85.7
Region of Waterloo Public Health and Emergency Services,MCC,7,2018-2019,96.5
Region of Waterloo Public Health and Emergency Services,MCV4,12,2018-2019,82
Region of Waterloo Public Health and Emergency Services,MCV4,17,2018-2019,95.6
Region of Waterloo Public Health and Emergency Services,Measles,17,2018-2019,96
Region of Waterloo Public Health and Emergency Services,Measles,7,2018-2019,93.7
Region of Waterloo Public Health and Emergency Services,Mumps,17,2018-2019,95.9
Region of Waterloo Public Health and Emergency Services,Mumps,7,2018-2019,93.7
Region of Waterloo Public Health and Emergency Services,Pertussis,17,2018-2019,85.7
Region of Waterloo Public Health and Emergency Services,Pertussis,7,2018-2019,93.2
Region of Waterloo Public Health and Emergency Services,Pneumo,7,2018-2019,77.2
Region of Waterloo Public Health and Emergency Services,Polio,17,2018-2019,94.5
Region of Waterloo Public Health and Emergency Services,Polio,7,2018-2019,93.6
Region of Waterloo Public Health and Emergency Services,Rubella,17,2018-2019,97.3
Region of Waterloo Public Health and Emergency Services,Rubella,7,2018-2019,97.1
Region of Waterloo Public Health and Emergency Services,Tetanus,17,2018-2019,85.3
Region of Waterloo Public Health and Emergency Services,Tetanus,7,2018-2019,93.2
Region of Waterloo Public Health and Emergency Services,Varicella,7,2018-2019,92.2
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2019-2020,81
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2019-2020,89.7
Region of Waterloo Public Health and Emergency Services,HPV,12,2019-2020,47.8
Region of Waterloo Public Health and Emergency Services,HPV,17,2019-2020,61
Region of Waterloo Public Health and Emergency Services,HepB,12,2019-2020,55.6
Region of Waterloo Public Health and Emergency Services,HepB,17,2019-2020,79.3
Region of Waterloo Public Health and Emergency Services,Hib,7,2019-2020,85.6
Region of Waterloo Public Health and Emergency Services,MCC,7,2019-2020,95.5
Region of Waterloo Public Health and Emergency Services,MCV4,12,2019-2020,92.7
Region of Waterloo Public Health and Emergency Services,MCV4,17,2019-2020,94.8
Region of Waterloo Public Health and Emergency Services,Measles,17,2019-2020,95.1
Region of Waterloo Public Health and Emergency Services,Measles,7,2019-2020,89.4
Region of Waterloo Public Health and Emergency Services,Mumps,17,2019-2020,95.1
Region of Waterloo Public Health and Emergency Services,Mumps,7,2019-2020,89.3
Region of Waterloo Public Health and Emergency Services,Pertussis,17,2019-2020,81.7
Region of Waterloo Public Health and Emergency Services,Pertussis,7,2019-2020,89.5
Region of Waterloo Public Health and Emergency Services,Pneumo,7,2019-2020,79.8
Region of Waterloo Public Health and Emergency Services,Polio,17,2019-2020,93.8
Region of Waterloo Public Health and Emergency Services,Polio,7,2019-2020,90
Region of Waterloo Public Health and Emergency Services,Rota,7,2019-2020,67.5
Region of Waterloo Public Health and Emergency Services,Rubella,17,2019-2020,96.9
Region of Waterloo Public Health and Emergency Services,Rubella,7,2019-2020,96.8
Region of Waterloo Public Health and Emergency Services,Tetanus,17,2019-2020,81
Region of Waterloo Public Health and Emergency Services,Tetanus,7,2019-2020,89.7
Region of Waterloo Public Health and Emergency Services,Varicella,7,2019-2020,87.8
Region of Waterloo Public Health and Emergency Services,Diphtheria,17,2020-2021,71.1
Region of Waterloo Public Health and Emergency Services,Diphtheria,7,2020-2021,83
Region of Waterloo Public Health and Emergency Services,HPV,12,2020-2021,33.2
Region of Waterloo Public Health and Emergency Services,HPV,17,2020-2021,63.9
Region of Waterloo Public Health and Emergency Services,HepB,12,2020-2021,44.6
Region of Waterloo Public Health and Emergency Services,HepB,17,2020-2021,79.3
Region of Waterloo Public Health and Emergency Services,Hib,7,2020-2021,86.6
Region of Waterloo Public Health and Emergency Services,MCC,7,2020-2021,95.1
Region of Waterloo Public Health and Emergency Services,MCV4,12,2020-2021,86.9
Region of Waterloo Public Health and Emergency Services,MCV4,17,2020-2021,94.5
Region of Waterloo Public Health and Emergency Services,Measles,17,2020-2021,95.3
Region of Waterloo Public Health and Emergency Services,Measles,7,2020-2021,82.8
